,Nombredecrditsactifs,FLOORSMAXMODE,EXTSOURCE3,YEARSBEGINEXPLUATATIONMEDI,Nombredecrditsrembourss,EXTSOURCE2,OBS30CNTSOCIALCIRCLE,bureauMontantdesdettesactuelles,CODEGENDER,REGCITYNOTWORKCITY,NAMEFAMILYSTATUSMarried,DAYSBIRTH,FLAGOWNCAR,FLAGPHONE,REGIONRATINGCLIENTWCITY,NAMETYPESUITEUnaccompanied,YEARSBEGINEXPLUATATIONAVG,FLAGOWNREALTY,AMTANNUITY,ORGANIZATIONTYPESelfemployed,FLAGDOCUMENT3,bureauNombredejoursdepuisladerniredemande,AMTGOODSPRICE,NAMEINCOMETYPEWorking,AMTCREDIT,REGIONRATINGCLIENT,DAYSEMPLOYED,IPPaiementensouffrancemoyen,NAMEEDUCATIONTYPESecondarysecondaryspecial,DAYSREGISTRATION,YEARSBEGINEXPLUATATIONMODE,DAYSLASTPHONECHANGE,NAMECONTRACTTYPECashloans,CNTCHILDREN,TOTALAREAMODE,OCCUPATIONTYPELaborers,ORGANIZATIONTYPEBusinessEntityType3,REGCITYNOTLIVECITY,FLOORSMAXMEDI,NAMEEDUCATIONTYPEHighereducation,NAMEFAMILYSTATUSSinglenotmarried,DAYSIDPUBLISH,WEEKDAYAPPRPROCESSSTARTFRIDAY,OCCUPATIONTYPESalesstaff,WEEKDAYAPPRPROCESSSTARTTHURSDAY,FLAGDOCUMENT6,REGIONPOPULATIONRELATIVE,IPRetardmoyendespaiements,OCCUPATIONTYPECorestaff,OCCUPATIONTYPEDrivers,WEEKDAYAPPRPROCESSSTARTMONDAY,LIVEREGIONNOTWORKREGION,FLAGEMAIL,FLOORSMAXAVG,bureauMontantcrditsencours,ORGANIZATIONTYPESchool,HOURAPPRPROCESSSTART,AMTINCOMETOTAL,WEEKDAYAPPRPROCESSSTARTWEDNESDAY,DEF30CNTSOCIALCIRCLE,ORGANIZATIONTYPETransporttype3,FLAGWORKPHONE,OCCUPATIONTYPESecuritystaff,LIVECITYNOTWORKCITY,WEEKDAYAPPRPROCESSSTARTTUESDAY,NAMEHOUSINGTYPEHouseapartment,PreviousMontantdemandmoyen,ORGANIZATIONTYPETradetype7,ORGANIZATIONTYPEAgriculture,WEEKDAYAPPRPROCESSSTARTSATURDAY,NAMETYPESUITEFamily,FLAGEMPPHONE,CNTFAMMEMBERS,NAMEFAMILYSTATUSSeparated,NAMEINCOMETYPEStateservant,ORGANIZATIONTYPEOther,NAMEHOUSINGTYPEMunicipalapartment,DEF60CNTSOCIALCIRCLE,OBS60CNTSOCIALCIRCLE,OCCUPATIONTYPEHighskilltechstaff,NAMEFAMILYSTATUSWidow,SKIDCURR
0,3.0,0.125,0.1595195404777181,0.9732,4.0,0.7896543511176771,0.0,596686.5,1,0,1,-19241,0,0,2,1,0.9732,1,20560.5,0,1,-1572.0,450000.0,1,568800.0,2,-2329,0.0,0,-5170.0,0.9732,-1740.0,1,0,0.0392,0,0,0,0.125,1,0,-812,0,0,0,0,0.01885,15.5,0,0,0,0,1,0.125,1453365.0,0,18,135000.0,0,0.0,0,0,0,0,1,1,24835.5,0,0,0,0,1,2.0,0,0,0,0,0.0,0.0,0,0,100001
1,2.0,,0.4329616670974407,,1.0,0.2916555320093651,0.0,568408.5,0,0,1,-18064,0,0,2,1,,1,17370.0,1,1,-373.0,180000.0,1,222768.0,2,-4469,0.0,1,-9118.0,,0.0,1,0,,0,0,0,,0,0,-1623,1,0,0,0,0.035792,23.555555555555557,0,0,0,0,0,,657126.0,0,9,99000.0,0,0.0,0,0,0,0,0,1,22308.75,0,0,0,0,1,2.0,0,0,0,0,0.0,0.0,0,0,100005
2,,,0.6109913280868294,,4.0,0.6997868302051784,0.0,0.0,0,0,1,-20038,1,0,2,0,,1,69777.0,0,0,-2070.0,630000.0,1,663264.0,2,-4458,2646.2831250000004,0,-2175.0,,-856.0,1,0,,0,0,0,,1,0,-3503,0,0,0,0,0.019101,12.75925925925926,0,1,1,0,0,,2072280.06,0,14,202500.0,0,0.0,1,0,0,0,0,1,130871.25,0,0,0,0,1,2.0,0,0,0,0,0.0,0.0,0,0,100013
3,5.0,0.375,0.6127042441012546,0.997,7.0,0.5096770801723647,0.0,186304.5,1,0,1,-13976,0,1,2,1,0.997,1,49018.5,0,1,-2105.0,1575000.0,1,1575000.0,2,-1866,279.15964285714284,1,-2000.0,0.997,-1805.0,1,2,0.37,0,1,0,0.375,0,0,-4208,0,1,0,0,0.026392,4.8500000000000005,0,0,0,0,0,0.375,1520875.08,0,11,315000.0,1,0.0,0,0,0,0,0,1,49207.5,0,0,0,0,1,4.0,0,0,0,0,0.0,0.0,0,0,100028
4,,,,,,0.4256872940912229,0.0,,0,1,1,-13040,1,0,2,1,,0,32067.0,0,1,,625500.0,1,625500.0,2,-2191,0.0,1,-4000.0,,-821.0,1,1,,0,1,0,,0,0,-4262,1,0,0,0,0.010032,12.25,0,0,0,0,0,,,0,5,180000.0,0,0.0,0,1,0,1,0,1,267727.5,0,0,0,0,1,3.0,0,0,0,0,0.0,0.0,0,0,100038
5,8.0,0.3333,0.3927738606031339,0.9821,6.0,0.6289043246811542,0.0,3074162.895,1,0,1,-18604,1,1,2,1,0.9821,1,34600.5,0,0,-2723.0,810000.0,0,959688.0,2,-12009,319.54007025761126,1,-6116.0,0.9821,-1705.0,1,0,0.2151,0,0,0,0.3333,0,0,-2027,0,0,0,0,0.025164,7.765516996664537,0,1,1,0,0,0.3333,9540657.0,0,15,270000.0,0,0.0,0,0,0,0,0,1,415884.0,0,0,0,0,1,2.0,0,1,0,0,0.0,0.0,0,0,100042
6,1.0,,0.6512602186973006,,7.0,0.57108420610083,1.0,0.0,0,1,1,-16685,1,0,2,1,,1,22117.5,0,1,-2623.0,373500.0,1,499221.0,2,-2580,0.0,0,-10125.0,,-1182.0,1,2,,0,0,0,,1,0,-241,0,0,1,0,0.0228,23.333333333333332,0,0,0,0,0,,2952260.1,0,9,180000.0,0,0.0,0,0,0,1,0,1,50396.175,0,0,0,0,1,4.0,0,0,0,0,0.0,1.0,1,0,100057
7,4.0,,0.3123653692278984,,9.0,0.6130330592407085,0.0,540273.51,0,0,0,-9516,0,1,2,1,,1,14220.0,1,0,-1207.0,180000.0,1,180000.0,2,-1387,0.0,0,-5063.0,,-1182.0,1,0,,0,0,0,,1,1,-2055,1,0,0,0,0.005144,13.6,1,0,0,0,0,,1710873.945,0,7,166500.0,0,0.0,0,1,0,0,0,0,58590.0,0,0,0,0,1,1.0,0,0,0,0,0.0,0.0,0,0,100065
8,1.0,0.1667,0.5226973172821112,0.9781,2.0,0.8087877917779122,0.0,181687.5,1,0,1,-12744,0,0,1,1,0.9781,1,28957.5,0,1,-674.0,315000.0,0,364896.0,1,-1013,0.0,0,-1686.0,0.9782,-829.0,1,0,0.0702,0,0,0,0.1667,1,0,-3171,0,0,1,0,0.04622,9.49280303030303,1,0,0,0,0,0.1667,949500.0,1,18,315000.0,0,0.0,0,0,0,0,0,1,117006.0,0,0,0,0,1,2.0,0,1,0,0,0.0,0.0,0,0,100066
9,5.0,,0.1940678276718812,,12.0,0.4448475614048825,4.0,1176970.5,1,0,0,-10395,1,1,2,0,,1,5337.0,0,1,-1628.0,45000.0,1,45000.0,2,-2625,0.0,0,-8124.0,,-1423.0,1,1,,0,0,0,,1,0,-3041,0,1,0,0,0.018634,14.162515262515262,0,0,0,0,0,,3237102.0,0,14,162000.0,0,0.0,0,1,0,0,1,1,182835.19565217392,0,0,0,1,1,3.0,0,0,0,0,0.0,4.0,0,0,100067
